ENSGID,Condition_A
ENSG00000185641,0.676365251
ENSG00000143942,0.676170449
ENSG00000182256,0.675419409
ENSG00000276529,0.675349533
ENSG00000149273,0.675332868
ENSG00000118363,0.675119976
ENSG00000135324,0.674732842
ENSG00000108953,0.674268124
ENSG00000185115,0.673166697
ENSG00000188906,0.672472939
ENSG00000164967,0.671574008
ENSG00000120509,0.671477986
ENSG00000069869,0.670999005
ENSG00000037241,0.669754813
ENSG00000204315,0.669516667
ENSG00000125285,0.669357302
ENSG00000108561,0.66872763
ENSG00000198755,0.668597976
ENSG00000285090,0.668138881
ENSG00000167900,0.667919325
ENSG00000134259,0.667380779
ENSG00000179918,0.666889113
ENSG00000266921,0.666041256
ENSG00000228474,0.665961073
ENSG00000197977,0.665691463
ENSG00000221983,0.66558817
ENSG00000127920,0.665427336
ENSG00000149357,0.665417322
ENSG00000166189,0.665130765
ENSG00000102007,0.664473297
ENSG00000108106,0.663685428
ENSG00000182199,0.663257958
ENSG00000126432,0.66287115
ENSG00000243199,0.662777304
ENSG00000171848,0.662667449
ENSG00000146386,0.662661496
ENSG00000184887,0.662619222
ENSG00000074317,0.662554427
ENSG00000175334,0.662080984
ENSG00000197958,0.66200104
ENSG00000152240,0.661673037
ENSG00000167468,0.661512998
ENSG00000128626,0.661426037
ENSG00000004948,0.660931895
ENSG00000166199,0.660821718
ENSG00000198356,0.660742032
ENSG00000167863,0.660213338
ENSG00000076003,0.659697694
ENSG00000182103,0.659660087
ENSG00000099617,0.659617893
ENSG00000215021,0.659481894
ENSG00000223797,0.659273393
ENSG00000169740,0.658962173
ENSG00000145358,0.658140413
ENSG00000145912,0.657850317
ENSG00000144713,0.657682637
ENSG00000198832,0.657536761
ENSG00000160712,0.657485441
ENSG00000279725,0.657027037
ENSG00000089685,0.657017337
ENSG00000197587,0.656988498
ENSG00000198258,0.6569343
ENSG00000179218,0.65690899
ENSG00000113387,0.656653298
ENSG00000151012,0.656348429
ENSG00000112514,0.65630137
ENSG00000137876,0.655976414
ENSG00000187569,0.654723549
ENSG00000198176,0.654493197
ENSG00000031698,0.654259487
ENSG00000072506,0.654215108
ENSG00000118640,0.653764798
ENSG00000113732,0.652917299
ENSG00000153790,0.652729042
ENSG00000124233,0.652518083
ENSG00000172315,0.652106285
ENSG00000111328,0.652051059
ENSG00000212464,0.652030039
ENSG00000135905,0.651946282
ENSG00000135624,0.651435051
ENSG00000215218,0.651291713
ENSG00000243547,0.651264232
ENSG00000137875,0.651213541
ENSG00000165916,0.651091962
ENSG00000267809,0.651030962
ENSG00000092969,0.650903972
ENSG00000204308,0.650659009
ENSG00000168032,0.650294239
ENSG00000283154,0.649989055
ENSG00000198417,0.649713368
ENSG00000114405,0.648878494
ENSG00000128228,0.648834846
ENSG00000214975,0.64864133
ENSG00000225127,0.648604684
ENSG00000166794,0.647646395
ENSG00000184990,0.647184261
ENSG00000176014,0.646690849
ENSG00000137168,0.646565012
ENSG00000189060,0.646426073
ENSG00000084073,0.646420768
ENSG00000074800,0.645574236
ENSG00000204531,0.645479844
ENSG00000122694,0.645240928
ENSG00000228509,0.645155435
ENSG00000126950,0.64487786
ENSG00000117410,0.644665358
ENSG00000257698,0.64463373
ENSG00000105640,0.644416518
ENSG00000038002,0.643984012
ENSG00000162961,0.643966397
ENSG00000256751,0.643720547
ENSG00000095932,0.643346393
ENSG00000109472,0.643106508
ENSG00000089289,0.642720097
ENSG00000198937,0.642025368
ENSG00000188486,0.641871278
ENSG00000128791,0.641309264
ENSG00000143845,0.641105231
ENSG00000169230,0.640805948
ENSG00000127252,0.640784871
ENSG00000144290,0.64031559
ENSG00000271109,0.640261434
ENSG00000099341,0.640228874
ENSG00000256060,0.639851222
ENSG00000125445,0.639775816
ENSG00000150456,0.639139618
ENSG00000159199,0.638798375
ENSG00000232176,0.638433031
ENSG00000157765,0.638224979
ENSG00000204110,0.637967878
ENSG00000239672,0.637423043
ENSG00000132341,0.63687827
ENSG00000237190,0.636824641
ENSG00000177700,0.636815166
ENSG00000229544,0.63623546
ENSG00000172586,0.636124356
ENSG00000140988,0.636078783
ENSG00000256043,0.635338782
ENSG00000196683,0.63525025
ENSG00000223611,0.635182953
ENSG00000004059,0.634650679
ENSG00000170310,0.634577774
ENSG00000131724,0.634156645
ENSG00000143653,0.633901752
ENSG00000007968,0.633691352
ENSG00000182004,0.633613874
ENSG00000155115,0.633217083
ENSG00000128951,0.632697557
ENSG00000197696,0.632486245
ENSG00000140941,0.632230094
ENSG00000131238,0.631086966
ENSG00000130748,0.630358804
ENSG00000116288,0.630080336
ENSG00000079739,0.629939743
ENSG00000096080,0.629399704
ENSG00000188191,0.628863556
ENSG00000145741,0.628706207
ENSG00000250046,0.628166747
ENSG00000116752,0.628023965
ENSG00000188856,0.627943293
ENSG00000110492,0.627383486
ENSG00000254999,0.627045679
ENSG00000124194,0.62667618
ENSG00000167283,0.626053451
ENSG00000197345,0.625842845
ENSG00000154721,0.625557352
ENSG00000153574,0.62550904
ENSG00000236552,0.625325794
ENSG00000188846,0.624818823
ENSG00000161057,0.624796408
ENSG00000114023,0.6247483
ENSG00000015153,0.624681716
ENSG00000143222,0.624585555
ENSG00000005022,0.624142189
ENSG00000173113,0.624122007
ENSG00000102265,0.623562074
ENSG00000163481,0.623362506
ENSG00000206538,0.62286106
ENSG00000171530,0.622578468
ENSG00000243147,0.622393237
ENSG00000150316,0.622115786
